A_MARITL,A_SEX,PEAFEVER,PARENT,PENATVTY,PEFNTVTY,PEHSPNON,PEINUSYR,PEPAR1TYP,PRCITSHP,PRDTRACE,ERN_SRCE,WSAL_VAL,ANN_VAL,A_HGA
7,1,2,0,57,57,2,0,1,1,1,1,15000,0,37
7,2,-1,1,57,57,2,0,1,1,1,1,5000,0,34
1,2,2,0,57,57,2,0,-1,1,1,1,32000,0,39
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,-1,1,1,2,0,0,37
7,1,-1,3,57,57,1,0,-1,1,1,0,0,0,0
7,2,-1,3,57,57,1,0,-1,1,1,0,0,0,0
7,2,2,0,57,57,2,0,-1,1,1,2,0,0,35
1,1,1,0,57,57,2,0,-1,1,1,1,400000,0,45
1,2,2,0,57,57,2,0,-1,1,1,1,150000,0,45
7,1,2,0,57,57,2,0,1,1,1,1,1000,0,40
7,1,2,1,57,57,2,0,1,1,1,1,1000,0,36
7,2,-1,1,57,57,2,0,1,1,1,1,500,0,34
7,2,-1,1,57,57,2,0,1,1,1,1,500,0,34
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,37
7,1,2,0,57,57,2,0,1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,3,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,44
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,22000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,72000,0,44
7,1,2,0,57,57,2,0,1,1,1,0,0,0,39
5,1,2,0,57,57,2,0,-1,1,1,1,20773,0,36
5,2,2,0,57,57,2,0,-1,1,1,1,12000,0,39
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,70000,0,46
1,1,2,0,57,57,2,0,-1,1,1,1,102000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,46800,0,39
1,1,2,0,57,57,2,0,-1,1,1,1,54000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,45000,0,40
7,2,2,0,57,57,2,0,1,1,1,1,572,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,91000,0,44
1,1,2,0,57,57,2,0,-1,1,2,1,40000,0,43
7,1,-1,1,57,57,2,0,1,1,6,0,0,0,0
7,1,-1,1,57,57,2,0,1,1,6,0,0,0,0
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,44
1,2,2,0,209,207,2,14,-1,4,4,0,0,0,44
7,2,2,0,57,57,2,0,-1,1,1,1,61000,0,40
7,2,2,0,57,57,2,0,-1,1,1,1,2500,0,40
7,2,2,0,57,57,2,0,-1,1,1,1,16000,0,39
7,2,2,0,57,57,2,0,-1,1,1,1,140000,0,43
7,1,-1,2,57,501,2,0,1,1,1,0,0,0,0
1,2,2,0,57,57,2,0,-1,1,1,1,40400,0,39
1,1,2,0,57,57,2,0,-1,1,1,2,0,0,39
7,1,2,0,57,57,2,0,1,1,1,0,0,0,39
4,2,2,0,57,157,2,0,-1,1,1,0,0,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,9461,0,38
1,1,2,0,57,57,2,0,-1,1,1,1,90000,0,40
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,46
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,43
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,1,1,1,0,0,0,39
5,2,2,0,57,57,2,0,-1,1,1,1,90000,0,43
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,41
7,2,2,0,57,57,2,0,-1,1,1,1,38000,0,43
4,1,2,0,57,57,2,0,1,1,1,1,3200,4080,39
